,sLapDistance,xCarX,xCarY,aYaw,vCar
00:20.8,772.73,-124.05,-244.48,-175.68,105.15
00:20.8,774.19,-122.59,-244.35,-176.36,106.44
00:20.9,775.68,-121.1,-244.23,-177.06,107.69
00:21.0,777.19,-119.6,-244.13,-177.8,108.96
00:21.0,778.71,-118.08,-244.05,-178.49,110.32
00:21.1,780.25,-116.54,-243.98,-179.05,111.73
00:21.1,781.81,-114.98,-243.93,-179.47,113.14
00:21.1,783.39,-113.4,-243.89,-179.71,114.6
00:21.2,784.99,-111.8,-243.86,-179.79,115.99
00:21.2,786.61,-110.18,-243.84,-179.86,117.21
00:21.3,788.25,-108.54,-243.83,-107.96,118.47
00:21.4,789.9,-106.89,-243.81,179.94,119.9
00:21.4,791.58,-105.21,-243.81,179.91,121.44
00:21.5,793.27,-103.52,-243.8,179.95,122.91
00:21.5,794.99,-101.8,-243.8,-179.95,124.33
00:21.5,796.73,-100.06,-243.79,-179.82,125.7
00:21.6,798.48,-98.31,-243.79,-179.69,127.07
00:21.7,800.26,-96.53,-243.78,-179.54,128.47
00:21.7,802.05,-94.74,-243.77,-179.36,129.82
00:21.8,803.86,-92.93,-243.75,-179.11,131.16
00:21.8,805.7,-91.1,-243.72,-178.79,132.47
00:21.9,807.54,-89.25,-243.68,-178.39,133.72
00:21.9,809.41,-87.38,-243.63,-177.92,134.96
00:22.0,811.29,-85.5,-243.57,-177.37,136.2
00:22.0,813.19,-83.6,-243.49,-176.82,137.42
00:22.1,815.11,-81.69,-243.4,-176.23,138.63
00:22.1,817.04,-79.76,-243.28,-175.66,139.84
00:22.1,818.99,-77.81,-243.15,-175.12,140.95
00:22.2,820.96,-75.85,-243,-174.55,142.02
00:22.3,822.94,-73.88,-242.84,-173.85,143.13
00:22.3,824.93,-71.89,-242.65,-173.16,144.34
00:22.4,826.95,-69.89,-242.43,-172.72,145.46
00:22.4,828.97,-67.88,-242.2,-172.33,146.47
00:22.5,831.01,-65.85,-241.95,-171.83,147.55
