,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:20.8,897.56,215.14,267.73,-87.36,103.14,,,
00:20.8,898.99,215.07,269.16,-88.84,103.44,,,
00:20.9,900.43,215.04,270.6,-90.34,103.85,,,
00:21.0,901.88,215.04,272.05,-91.9,104.37,,,
00:21.0,903.33,215.08,273.5,-93.48,104.89,,,
00:21.1,904.79,215.15,274.95,-95.04,105.36,,,
00:21.1,906.25,215.26,276.42,-96.69,105.8,,,
00:21.1,907.72,215.4,277.88,-98.35,106.25,,,
00:21.2,909.2,215.57,279.35,-100,106.59,,,
00:21.2,910.68,215.78,280.82,-101.81,106.94,,,
00:21.3,912.17,216.02,282.29,-103.64,107.45,,,
00:21.4,913.66,216.3,283.76,-105.04,108.04,,,
00:21.4,915.16,216.61,285.23,-105.92,108.59,,,
00:21.5,916.67,216.96,286.7,-106.66,109.05,,,
00:21.5,918.19,217.34,288.17,-107.56,109.65,,,
00:21.5,919.71,217.74,289.64,-108.35,110.43,,,
00:21.6,921.25,218.16,291.12,-108.92,111.18,,,
00:21.7,922.8,218.62,292.6,-109.5,111.94,,,
00:21.7,924.36,219.1,294.09,-110.17,112.86,,,
00:21.8,925.93,219.61,295.58,-110.8,113.86,,,
00:21.8,927.52,220.15,297.07,-111.23,114.84,,,
00:21.9,929.12,220.71,298.57,-111.71,115.72,,,
00:21.9,930.73,221.28,300.07,-112.31,116.56,,,
00:22.0,932.35,221.87,301.58,-113.02,117.21,,,
00:22.0,933.98,222.48,303.1,-114.36,117.69,,,
00:22.1,935.62,223.1,304.61,-116.43,118.54,,,
00:22.1,937.27,223.75,306.12,-118.63,119.57,,,
00:22.1,938.93,224.44,307.64,-120.58,120.36,,,
00:22.2,940.6,225.17,309.14,-122.19,121.12,,,
00:22.3,942.28,225.92,310.65,-123.6,121.85,,,
00:22.3,943.98,226.7,312.15,-124.78,122.65,,,
00:22.4,945.68,227.49,313.66,-125.5,123.61,,,
