,sLapDistance,xCarX,xCarY,aYaw,vCar
00:25.4,976.97,297.31,241.03,48.43,93.03
00:25.4,978.24,296.46,240.07,48.93,91.11
00:25.5,979.5,295.64,239.12,49.81,89.02
00:25.5,980.72,294.86,238.18,50.91,86.89
00:25.6,981.91,294.12,237.25,51.97,84.75
00:25.6,983.08,293.41,236.33,53.14,82.75
00:25.6,984.21,292.74,235.41,54.45,80.98
00:25.7,985.32,292.1,234.5,55.86,79.14
00:25.8,986.41,291.5,233.6,57.49,77.61
00:25.8,987.48,290.93,232.69,59.13,76.18
00:25.9,988.53,290.4,231.79,60.7,74.85
00:25.9,989.57,289.9,230.89,62.37,73.72
