,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:21.4,850.87,-136.74,81.81,-179.05,164.21,,,
00:21.4,853.16,-134.45,81.85,-179.05,165.13,,,
00:21.5,855.46,-132.15,81.89,-179.04,165.89,,,
00:21.5,857.77,-129.84,81.93,-179.01,167.01,,,
00:21.5,860.1,-127.51,81.97,-179.01,168.08,,,
00:21.6,862.44,-125.17,82.01,-179.05,169.03,,,
00:21.7,864.79,-122.82,82.05,-179.08,169.95,,,
00:21.7,867.16,-120.45,82.09,-179.12,170.79,,,
00:21.8,869.54,-118.08,82.13,-179.16,171.65,,,
00:21.8,871.93,-115.69,82.17,-179.21,172.59,,,
00:21.9,874.33,-113.28,82.2,-179.26,173.5,,,
00:21.9,876.75,-110.87,82.24,-179.34,174.49,,,
00:22.0,879.18,-108.44,82.27,-179.39,175.49,,,
00:22.0,881.62,-105.99,82.3,-179.4,176.38,,,
00:22.1,884.08,-103.54,82.33,-179.4,177.25,,,
00:22.1,886.55,-101.07,82.36,-179.39,178.09,,,
00:22.1,889.02,-98.59,82.39,-179.4,178.81,,,
00:22.2,891.51,-96.1,82.42,-179.43,179.63,,,
00:22.3,894.01,-93.6,82.44,-179.46,180.55,,,
00:22.3,896.53,-91.09,82.47,-179.51,181.45,,,
00:22.4,899.06,-88.56,82.49,-179.56,182.37,,,
00:22.4,901.59,-86.02,82.52,-179.58,183.18,,,
00:22.5,904.14,-83.47,82.54,-179.6,183.93,,,
00:22.5,906.7,-80.91,82.56,-179.63,184.72,,,
00:22.6,909.28,-78.34,82.58,-179.66,185.64,,,
00:22.6,911.86,-75.76,82.6,-179.68,186.43,,,
00:22.7,914.45,-73.16,82.61,-179.71,187.23,,,
00:22.7,917.06,-70.56,82.63,-179.74,188.01,,,
00:22.8,919.68,-67.94,82.64,-179.74,188.77,,,
00:22.8,922.3,-65.32,82.65,-179.73,189.21,,,
