,sLapDistance,xCarX,xCarY,vCar
00:24.8,1117.65,330.91,451.15,59.99
00:24.9,1118.49,331.73,451.28,59.49
00:24.9,1119.32,332.55,451.38,59.06
00:25.0,1120.14,333.36,451.44,58.63
00:25.1,1120.95,334.17,451.46,58.2
00:25.1,1121.76,334.97,451.45,57.78
00:25.1,1122.57,335.77,451.4,57.41
00:25.2,1123.37,336.56,451.32,57.05
00:25.3,1124.17,337.33,451.2,56.7
00:25.3,1124.96,338.1,451.04,56.36
00:25.4,1125.75,338.85,450.85,56.03
00:25.4,1126.53,339.59,450.62,55.78
00:25.5,1127.31,340.32,450.36,56.04
00:25.5,1128.1,341.04,450.06,57
00:25.6,1128.91,341.77,449.73,58.22
00:25.6,1129.73,342.5,449.36,59.59
00:25.6,1130.58,343.23,448.96,61.11
00:25.7,1131.44,343.96,448.51,62.76
00:25.8,1132.33,344.69,448.02,64.32
00:25.8,1133.24,345.42,447.49,65.88
00:25.9,1134.17,346.14,446.92,67.52
00:25.9,1135.12,346.86,446.31,69.07
00:25.9,1136.09,347.58,445.66,70.82
00:26.0,1137.09,348.29,444.96,72.61
00:26.1,1138.11,348.99,444.22,74.61
00:26.1,1139.17,349.68,443.44,76.7
00:26.1,1140.25,350.36,442.61,78.67
00:26.2,1141.36,351.03,441.73,80.75
00:26.3,1142.49,351.7,440.82,82.75
00:26.3,1143.65,352.34,439.85,84.83
00:26.3,1144.85,352.97,438.85,86.86
00:26.4,1146.07,353.58,437.79,88.91
00:26.5,1147.31,354.16,436.69,91.09
00:26.5,1148.6,354.72,435.55,93.36
00:26.5,1149.91,355.27,434.36,95.78
00:26.6,1151.26,355.8,433.12,98.27
00:26.6,1152.64,356.32,431.85,100.84
00:26.7,1154.06,356.82,430.53,103.45
00:26.8,1155.51,357.33,429.17,106.16
00:26.8,1157.01,357.84,427.77,108.86
00:26.8,1158.54,358.36,426.33,111.54
00:26.9,1160.1,358.88,424.86,114.2
00:26.9,1161.71,359.42,423.36,116.84
00:27.0,1163.35,359.96,421.81,119.46
00:27.1,1165.02,360.52,420.24,121.98
00:27.1,1166.74,361.07,418.62,124.44
00:27.1,1168.48,361.64,416.98,126.9
00:27.2,1170.26,362.23,415.31,129.4
00:27.2,1172.08,362.84,413.61,131.85
00:27.3,1173.93,363.47,411.88,134.26
00:27.4,1175.81,364.13,410.12,136.61
00:27.4,1177.72,364.82,408.34,138.91
00:27.4,1179.67,365.54,406.54,141.1
00:27.5,1181.64,366.28,404.71,143.16
00:27.6,1183.64,367.05,402.88,144.27
00:27.6,1185.63,367.85,401.05,142.53
00:27.6,1187.59,368.65,399.27,139.22
00:27.7,1189.5,369.44,397.54,135.61
00:27.8,1191.36,370.23,395.86,132.11
